书名,作者,出版社,出版时间,价格,评分,评分人数,短评
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,2020年8月,25,9.4,16155,错综复杂的社会、家庭矛盾和人性悲剧
许三观卖血记,余华,南海出版公司,1998年9月,16.8,8.8,198156,以博大的温情描绘磨难中的人生
史记（全十册）,司马迁,中华书局,1982年11月,125,9.5,17772,史家之绝唱，无韵之离骚
树上的男爵,[意] 伊塔洛·卡尔维诺,译林出版社,2012年4月,30,9.1,25976,是不是真的只有先与人疏离，才能最终与他们在一起？
哭泣的骆驼,三毛,哈尔滨出版社,2020年6月,15.8,8.9,46312,沙漠中寻常的生与死
看见,柴静,广西师范大学出版社,2013年1月,39.8,8.8,283968,在这里看见中国
邓小平时代,[美] 傅高义,生活·读书·新知三联书店,2020年1月,88,9.2,31935,个人命运背后的历史变局
灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2020年9月,28,8.8,93822,唯有希望与爱可以驱散阴霾
浪潮之巅,吴军,电子工业出版社,2020年8月,55,9,27352,了解IT领域的入门读物
台北人,白先勇,广西师范大学出版社,2020年10月,38,8.9,38454,白先勇短篇小说集
诗经,孔丘 编订,北京出版社,2020年7月,19.9,9.4,18839,思无邪
人间词话,王国维,上海古籍出版社,1998年12月,9.8,9,41927,以新眼光评旧文学
西游记（全二册）,吴承恩,人民文学出版社,2020年8月,47.2,8.9,61846,神魔皆有人情，精魅亦通世故
永恒的终结,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014年9月,32,9,25418,关于时间旅行的终极奥秘和恢宏构想
窗边的小豆豆,[日] 黑柳彻子 著,南海出版公司,2020年1月,20,8.7,164564,真正懂孩子的教育经
悉达多,[德] 赫尔曼·黑塞,上海人民出版社,2020年3月,20,9,27615,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2020年12月,35,9,37679,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
爱你就像爱生命,王小波,上海锦绣文章出版社,2020年5月,18,8.8,88068,王小波与李银河的两地书
我们仨,杨绛,生活·读书·新知三联书店,2020年7月,18.8,8.7,248109,家庭生活回忆录
最好的告别,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015年7月,54.9,9,27173,关于衰老与死亡，你必须知道的常识
道德经,黄元吉,陕西人民出版社,1996年10月,4.5,9.4,13311,中国历史上首部完整的哲学著作
呼兰河传,萧红,百花文艺出版社,2020年1月,19,8.9,58191,萧红的童年往事
巨人的陨落,[英] 肯·福莱特,江苏凤凰文艺出版社,2016年5月,129.8,8.9,68602,五个家族，一场战争
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗,南海出版公司,2019年10月,59,8.8,75764,我来自一个极少有人能想象的家庭，教育给了我新世界
朝花夕拾,鲁迅,人民文学出版社,1972年4月,0.25,8.9,98274,在纷扰中寻出一点闲静
海子的诗,海子,人民文学出版社,1999年4月,15.4,8.9,34881,
这些人，那些事,吴念真,译林出版社,2020年9月,28,8.8,57301,平淡叙述下的惊心动魄
教父,[美]马里奥·普佐,译林出版社,1997年8月,23.3,9,32766,“教父三部曲”电影原著
唐诗三百首,蘅塘退士,中华书局,1998年1月,0.65,9.4,15945,熟读唐诗三百首，不会吟诗也会吟
罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2020年3月,28,9.2,21347,
飞鸟集,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2020年6月,16.8,8.9,52480,一个淡泊清透的世界
看不见的城市,[意大利]伊塔洛·卡尔维诺,译林出版社,2020年8月,16,8.8,34693,每一座城市都只在想象中耸立，又在描述中坍圮
鼠疫,(法)阿尔贝·加缪,上海译文出版社,2020年8月,34,9,27336,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
斯通纳,[美] 约翰·威廉斯,上海人民出版社,2020年1月,49,8.8,35476,即使不能拥有完美的生活，所幸追求过完整的自我
鹿鼎记（全五册）,金庸,广州出版社 花城出版社,2020年3月,108,8.8,46735,武侠的解构，流氓的狂欢
人生的枷锁,[英] 毛姆,上海译文出版社,2020年3月,32,9,21311,在混沌纷扰的生活漩流中，寻求人生的真谛
边城,沈从文,北岳文艺出版社,2020年4月,12,8.7,185148,一切充满了善，然而到处是不凑巧
梦里花落知多少,三毛,北京十月文艺出版社,2020年6月,28,8.8,79188,哀而不伤
叫魂,[美] 孔飞力,生活·读书·新知三联书店 上海三联书店,2020年5月,38,9,20705,1768年中国妖术大恐慌
金色梦乡,[日] 伊坂幸太郎,译林出版社,2020年9月,35,9,19914,伊坂幸太郎代表作
时间简史,[英] 史蒂芬·霍金,湖南科学技术出版社,2020年4月,45,8.8,48589,探索时间和空间的核心秘密
冬牧场,李娟,新星出版社,2020年6月,29.8,9,18980,阿勒泰的精灵
王尔德童话,[英] 王尔德,译林出版社,2020年6月,6,9.1,16960,一颗纯美纯善、永难泯灭的童心
陆犯焉识,严歌苓,作家出版社,2020年10月,35,8.8,45815,翻手为苍凉，覆手为繁华
人生的智慧,[德] 阿图尔·叔本华,上海人民出版社,2020年10月,28,9.2,18022,对世俗、实用问题深刻而透彻的讨论
美的历程,李泽厚,生活·读书·新知三联书店,2009年1月,43,9.2,17526,中国美学经典之作
一个陌生女人的来信,[奥] 斯台芬·茨威格,上海译文出版社,2020年7月,20,8.7,111105,暗恋的极致
野草,鲁迅,人民文学出版社,1973年3月,0.2,9.4,19965,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
彷徨,鲁迅,人民文学出版社,1973年3月,0.37,9.1,32057,路漫漫其修远兮，吾将上下而求索
孽子,白先勇,广西师范大学出版社,1905年7月,46,9.1,17661,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2020年4月,36,9.1,19165,当声称能改造智能的科学实验选中心智障碍主角
离开的，留下的,[意] 埃莱娜·费兰特,人民文学出版社,2020年10月,62,8.7,37553,探索中年的虚无、困惑、野心和近乎残暴的爱
苏菲的世界,[挪] 乔斯坦·贾德,作家出版社,2020年10月,26,8.8,40632,哲学启蒙书
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,中信出版社,2011年10月,68,8.7,49041,完美主义者的最高形态
十万个为什么,少年儿童出版社,少年儿童出版社,1905年5月,30,9.1,10815,
國史大綱（上下）,錢穆,商務印書館,2020年8月,76,9.3,12490,钱穆中国通史
孩子你慢慢来,龙应台,生活·读书·新知三联书店,2009年12月,28,8.7,64767,我们现在怎样做母亲
爱的艺术,[美] 艾·弗洛姆,上海译文出版社,2020年4月,15,8.8,30486,谦恭地、勇敢地、真诚地和有纪律地爱他人
昨日的世界,[奥] 斯蒂芬·茨威格,广西师范大学出版社,2004年5月,32,9.2,10477,一个高贵而残破的昨日镜像
万水千山走遍,三毛,哈尔滨出版社,2020年8月,13.8,8.8,36042,从遥远的撒哈拉到敦煌戈壁
我也有一个梦想,林达,生活·读书·新知三联书店,2020年8月,25,9,13363,在法治国家里，民众怎样运用法律
经济学原理（上下）,[美] 曼昆,机械工业出版社,2020年8月,88,9.1,16321,经济学家们的世界观
浮生六记,（清）沈复,人民文学出版社,1999年1月,5.7,8.8,48833,苟不记之笔墨，未免有辜彼苍之厚
送你一颗子弹,刘瑜,上海三联书店,2020年1月,25,8.6,128661,在这本书里，被“审视”的东西杂七杂八
九州·缥缈录,江南,人民文学出版社,2020年10月,198,8.8,4925,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
绿毛水怪,王小波,时代文艺出版社,2020年1月,30,9,16182,我们好象在池塘的水底，从一个月亮走向另一个月亮
不能承受的生命之轻,米兰·昆德拉,上海译文出版社,2020年8月,29,8.8,34568,
情书,[日] 岩井俊二,天津人民出版社,2020年7月,18,8.6,88554,一场同名同姓的误会，两段可贵的爱情
倾城之恋,张爱玲,北京十月文艺出版社,2020年12月,29.8,8.7,39919,“一对平凡的夫妻”之间的“一点真心”
小径分岔的花园,[阿根廷] 博尔赫斯,上海译文出版社,2020年7月,23,8.9,18473,一个谜语，谜底正是时间
球状闪电,刘慈欣,四川科学技术出版社,2020年6月,22,8.7,56074,量子之外，没有真相
野火集,龙应台,文汇出版社,2020年8月,25,8.8,30896,中国人，你为什么不生气
目送,龙应台,生活·读书·新知三联书店,2020年10月,39,8.6,189015,不必追
四世同堂,老舍,北京十月文艺出版社,2020年7月,36,9.3,17398,北平沦陷时代广大平民的悲惨遭遇
面纱,(英)W.萨默塞特·毛姆,重庆,2012年5月,32,8.7,44722,揭去生活的面纱
亮剑,都梁,解放军文艺出版社,2020年3月,28,8.9,21038,面对强大的对手，明知不敌，也要毅然亮剑
亲爱的安德烈,龙应台,人民文学出版社,2020年12月,26,8.6,105610,弭平代沟，跨越文化阻隔
银河系漫游指南,[英] 道格拉斯·亚当斯,四川科学技术出版社,2020年6月,16,8.8,18226,一场穿越银河的冒险
我的阿勒泰,李娟,云南人民出版社,2010年7月,22,8.8,18894,描写疆北阿勒泰地区生活和风情的原生态散文集
古文观止,吴楚材,中华书局,1987年1月,21,9.1,14493,收录自先秦至明末的散文二百二十二篇
温柔的夜,三毛,北京十月文艺出版社,2020年5月,28,9.1,16434,三毛在加纳利群岛的生活
麦琪的礼物,[美] 欧·亨利,上海社会科学院出版社,2020年7月,25,8.6,60376,日常的奇迹
阿勒泰的角落,李娟,万卷出版公司,2020年6月,25,9.1,12345,白雪和阳光，青草和白桦林
解忧杂货店,[日] 东野圭吾,南海出版公司,2020年5月,39.5,8.5,656096,现代人内心流失的东西，这家杂货店能帮你找回
受戒,汪曾祺,漓江出版社,1987年10月,3.95,9.3,13930,江南乡镇民间生活，健康淳朴的人性
渴望生活,[美] 欧文·斯通,北京十月文艺出版社,2020年4月,29.8,9.2,9552,梵高悲惨而成就辉煌的人生
故事,[美] 罗伯特·麦基,天津人民出版社,2014年9月,68,9.2,11323,材质、结构、风格和银幕剧作的原理
霸王别姬,李碧华,人民文学出版社,1999年1月,10.2,9.1,14393,人间，只是抹去了脂粉的脸
激荡三十年,吴晓波,中信出版社,2008年7月,32,8.6,11539,中国企业1978—2008
尼罗河上的惨案,[英] 阿加莎·克里斯蒂,人民文学出版社,2020年5月,22,8.7,37585,阿加莎·克里斯蒂代表作
德米安,[德] 赫尔曼·黑塞,上海人民出版社,2020年3月,25,9,17303,少年辛克莱寻找通向自身之路的艰辛历程
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德,上海世纪出版集团,2006年4月,45,8.7,34068,人类社会的命运
半生缘,张爱玲,北京十月文艺出版社,2020年12月,28,8.6,71875,世钧，我们回不去了
社会心理学,[美] 戴维·迈尔斯,人民邮电出版社,2020年1月,68,9,18790,人们是如何思索、影响他人并与他人建立联系的
棋王,阿城,作家出版社,1999年10月,13,8.8,23063,我从未真正见过火，也未见过毁灭，更不知新生
罗生门,[日]芥川龙之介,上海译文出版社,2020年7月,12,8.7,50300,人生，远比地狱更像地狱
天朝的崩溃,茅海建,生活·读书·新知三联书店,2020年7月,32,9.1,11270,鸦片战争再研究
我不知道该说什么，关于死亡还是爱情,S.A.阿列克谢耶维奇,铁葫芦图书,2014年6月,34.8,9,14822,真实记录切尔诺贝利核灾难事件
万物有灵且美,[英] 吉米·哈利,中国城市出版社,2020年1月,28.8,8.8,18744,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
失明症漫记,[葡] 若泽·萨拉马戈,南海出版公司,2020年2月,29.5,9.1,13488,失明症迅速蔓延，整个城市陷入一场空前的灾难
最好的我们,八月长安,湖南文艺出版社,2013年8月,55,8.7,58232,耿耿余淮
总统是靠不住的,林达,生活·读书·新知三联书店,2020年8月,21.8,8.8,17837,美国政治法律制度的基本原理和操作细节
罪与罚,[俄] 陀思妥耶夫斯基,上海译文出版社,2020年8月,23,9.1,13998,描绘人内心的全部深度
人间草木,汪曾祺,江苏文艺出版社,2020年1月,20,9,17179,我就是要这样香，香得痛痛快快
顾城的诗,顾城,人民文学出版社,1998年12月,20,8.8,19584,火焰是我们诗歌唯一的读者
我的天才女友,[意] 埃莱娜·费兰特,人民文学出版社,2020年1月,42,8.5,62496,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
荆棘鸟,[澳] 考琳·麦卡洛,译林出版社,1998年7月,28,8.6,45978,澳洲乱世情
民主的细节,刘瑜,上海三联书店,2020年6月,25,8.6,69920,公民养成手册
上学记,何兆武 口述,生活·读书·新知三联书店,2020年8月,19.8,8.9,12442,20世纪中国知识分子的心灵史
茶馆,老舍,人民文学出版社,2020年1月,9.8,9,15897,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
全球通史,(美) 斯塔夫里阿诺斯,北京大学出版社,2012年2月,168,9.1,12289,从史前史到21世纪
倚天屠龙记(共四册),金庸,三联书店,1999年4月,47,8.6,50875,不识张郎是张郎
一句顶一万句,刘震云,长江文艺出版社,2020年3月,29.8,8.7,39306,一句胜过千年
雨季不再来,三毛,北京十月文艺出版社,2020年7月,28,8.7,42174,三毛少女时代的成长感受
草房子,曹文轩,江苏少年儿童出版社,2020年6月,18,9,23635,男孩桑桑刻骨铭心、终身难忘的六年小学生活
雷雨,曹禺,人民文学出版社,1999年5月,9.2,8.6,62272,一幕人生大悲剧，在一个雷雨夜爆发
