书名,作者,出版社,出版时间,价格,评分,评分人数,短评
海底两万里,[法国] 儒尔·凡尔纳,译林出版社,2020年9月,19.5,8.5,83736,你听说过鹦鹉螺号吗？
西方哲学史（上卷）,[英] 罗素,商务印书馆,1963年9月,25,8.9,11859,西方哲学史及其与从古代到现代的政治、社会情况的联系
2001太空漫游,[英] 阿瑟·克拉克,上海人民出版社,2020年11月,28,9.1,7076,科幻三巨头之一阿瑟·克拉克代表作
少年凯歌,陈凯歌,人民文学出版社,2020年6月,10,9.2,5397,
尘埃落定,阿来,人民文学出版社,1998年3月,22,8.5,53306,一个傻子的土司家族传奇
过于喧嚣的孤独,(捷克) 赫拉巴尔,北京十月文艺出版社,2020年10月,22,8.8,11348,我为它而活着，并为写它推迟了我的死亡
社会性动物,Elliot Aronson,华东师范大学出版社,2020年12月,45,9.1,9069,美国社会心理学的《圣经》
批评官员的尺度,[美] 安东尼·刘易斯,北京大学出版社,2020年7月,32,8.9,8777,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案
长夜难明,紫金陈,云南人民出版社,2020年1月,42,8.5,45355,
如父如子,[日] 是枝裕和,湖南文艺出版社,2020年4月,49.8,8.9,17348,
不存在的骑士,[意] 伊塔洛·卡尔维诺,译林出版社,2020年4月,22,8.9,10460,
心理学与生活,[美] 理查德·格里格,人民邮电出版社,2020年10月,88,8.8,16856,是教科书，也是通俗易懂的好读物
